date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,9.5,3,18,,,,3.1,,,
2018-01-02 00:00:00,9,3,15,,,,2.4,,,
2018-01-03 00:00:00,10,5,14,,,,2.2,,,
2018-01-04 00:00:00,11.8,9,15,,,,4.3,,,
2018-01-05 00:00:00,13,10,17,,,,7.2,,,
2018-01-06 00:00:00,10,6,14,,,,6.1,,,
2018-01-07 00:00:00,7.5,4,10,,,,6,,,
2018-01-08 00:00:00,9.5,9,10,,,,8,,,
2018-01-09 00:00:00,11.8,10,15,,,,10.5,,,
2018-01-10 00:00:00,11,8,14,,,,8.1,,,
2018-01-11 00:00:00,9.8,7,14,,,,7.7,,,
2018-01-12 00:00:00,9.8,5,16,,,,7.7,,,
2018-01-13 00:00:00,8.3,6,12,,,,2.1,,,
2018-01-14 00:00:00,9.4,9,11,,,,2.5,,,
2018-01-15 00:00:00,8.4,7,9,,,,3.9,,,
2018-01-16 00:00:00,11,9,14,,,,5.9,,,
2018-01-17 00:00:00,,,,,,,,,,
2018-01-18 00:00:00,,,,,,,,,,
2018-01-19 00:00:00,,,,,,,,,,
2018-01-20 00:00:00,,,,,,,,,,
2018-01-21 00:00:00,,,,,,,,,,
2018-01-22 00:00:00,,,,,,,,,,
2018-01-23 00:00:00,8.8,5,14,,,,4.7,,,
2018-01-24 00:00:00,7.7,3,10,,,,11.8,,,
2018-01-25 00:00:00,8,5,12,,,,11.2,,,
2018-01-26 00:00:00,5.6,2,10,,,,4.7,,,
2018-01-27 00:00:00,9.4,5,14,,,,8.4,,,
2018-01-28 00:00:00,9.6,3,16,,,,4.6,,,
2018-01-29 00:00:00,9,5,14,,,,4.7,,,
2018-01-30 00:00:00,9.4,3,18,,,,2.5,,,
2018-01-31 00:00:00,10.6,4,19,,,,6.9,,,
2018-02-01 00:00:00,12.5,7,20,,,,5.5,,,
2018-02-02 00:00:00,13.3,6,22,,,,7.2,,,
2018-02-03 00:00:00,15.5,8,22,,,,8.2,,,
2018-02-04 00:00:00,13.7,7,22,,,,3.9,,,
2018-02-05 00:00:00,14.4,6,24,,,,2.7,,,
2018-02-06 00:00:00,17.9,14,23,,,,23.7,,,
2018-02-07 00:00:00,14,8,23,,,,7,,,
2018-02-08 00:00:00,13.3,6,23,,,,3.4,,,
2018-02-09 00:00:00,14.2,7,25,,,,3.2,,,
2018-02-10 00:00:00,13.5,7,20,,,,18.4,,,
2018-02-11 00:00:00,10.7,2,17,,,,13.5,,,
2018-02-12 00:00:00,9.1,3,15,,,,15.6,,,
2018-02-13 00:00:00,10.8,5,17,,,,16.1,,,
2018-02-14 00:00:00,8.5,0,19,,,,7.5,,,
2018-02-15 00:00:00,10.5,4,17,,,,17.1,,,
2018-02-16 00:00:00,9.2,2,18,,,,5.2,,,
2018-02-17 00:00:00,10.7,3,19,,,,4.8,,,
2018-02-18 00:00:00,10.2,5,15,,,,14.9,,,
2018-02-19 00:00:00,5.4,0,11,,,,6.9,,,
2018-02-20 00:00:00,,,,,,,,,,
2018-02-21 00:00:00,6.3,,,,,,7.6,,,
2018-02-22 00:00:00,6,2,13,,,,11.8,,,
2018-02-23 00:00:00,5.2,0,12,,,,13.3,,,
2018-02-24 00:00:00,6.6,-2,15,,,,8,,,
2018-02-25 00:00:00,9.7,4,17,,,,11.8,,,
2018-02-26 00:00:00,8.4,6,12,,,,13.1,,,
2018-02-27 00:00:00,8.2,2,14,,,,23.1,,,
2018-02-28 00:00:00,7,-1,14,,,,14.3,,,
2018-03-01 00:00:00,9.6,8,13,,,,26.4,,,
2018-03-02 00:00:00,6.3,2,10,,,,10.9,,,
2018-03-03 00:00:00,5.7,,,,,,10.4,,,
2018-03-04 00:00:00,5.5,0,12,,,,6.3,,,
2018-03-05 00:00:00,8,2,15,,,,11.5,,,
2018-03-06 00:00:00,9.6,3,18,,,,6.4,,,
2018-03-07 00:00:00,12.6,7,20,,,,7.2,,,
2018-03-08 00:00:00,14.1,9,19,,,,6.4,,,
2018-03-09 00:00:00,13.2,7,19,,,,1.8,,,
2018-03-10 00:00:00,12.8,9,17,,,,6.3,,,
2018-03-11 00:00:00,13.1,6,21,,,,4.9,,,
2018-03-12 00:00:00,15,8,22,,,,6.7,,,
2018-03-13 00:00:00,13.9,10,16,,,,14.6,,,
