date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,9.1,2.5,18.4,,,,5.8,,1022.6,
2018-01-02 00:00:00,8.5,3.3,15.5,,,,7.9,,1021.9,
2018-01-03 00:00:00,9.6,5.1,13.4,,,,8.9,,1018,
2018-01-04 00:00:00,12.2,10.2,15.7,,,,7.7,,1019.1,
2018-01-05 00:00:00,12.4,8.5,16.6,,,,9.2,,1021.7,
2018-01-06 00:00:00,10.4,4,15.3,,,,10.1,,1022.4,
2018-01-07 00:00:00,6.9,2.4,10.4,,,,5.8,,1020.3,
2018-01-08 00:00:00,9.7,8,10.5,,,,16.2,,1010,
2018-01-09 00:00:00,12.3,9.3,15.1,,,,16.9,,1005.4,
2018-01-10 00:00:00,10.8,7.7,14.1,,,,15.4,,1019.7,
2018-01-11 00:00:00,10,4.8,16.3,,,,8.4,,1026.2,
2018-01-12 00:00:00,8.9,4.4,15,,,,7.2,,,
2018-01-13 00:00:00,8.6,4.1,11.1,,,,11.2,,1024.6,
2018-01-14 00:00:00,10,8.1,11.8,,,,10.6,,1022.5,
2018-01-15 00:00:00,8.8,7.9,10,,,,5.4,,1020.6,
2018-01-16 00:00:00,11.3,8.8,14.2,,,,7.1,,1023.5,
2018-01-17 00:00:00,10,6.9,12,,,,5.3,,1023.9,
2018-01-18 00:00:00,11,8.9,13.4,,,,10.8,,1018.7,
2018-01-19 00:00:00,8.4,1.7,14.5,,,,12.8,,1018.9,
2018-01-20 00:00:00,6.6,0,14.9,,,,7.8,,1021.3,
2018-01-21 00:00:00,7.4,-0.6,13.6,,,,9.7,,1026.9,
2018-01-22 00:00:00,8.9,7,10.5,,,,13.9,,1026.8,
2018-01-23 00:00:00,8,2.8,14.1,,,,5.9,,1024.9,
2018-01-24 00:00:00,7.7,3.4,11,,,,10.3,,1018.3,
2018-01-25 00:00:00,7.8,3.9,12.9,,,,10.6,,1019.5,
2018-01-26 00:00:00,6.3,0.7,11.7,,,,6.4,,1027.5,
2018-01-27 00:00:00,9,2.9,16.2,,,,4.8,,1030.1,
2018-01-28 00:00:00,8,1,16.3,,,,8.6,,1028,
2018-01-29 00:00:00,8.2,4.1,14.9,,,,8.4,,1024.7,
2018-01-30 00:00:00,8.6,1.3,18.3,,,,2.2,,1020.7,
2018-01-31 00:00:00,9.7,2.1,19.4,,,,5.1,,1018.9,
2018-02-01 00:00:00,12,5.3,21.8,,,,6.4,,1019.6,
2018-02-02 00:00:00,12.6,5.5,22.3,,,,9.7,,1021.2,
2018-02-03 00:00:00,14,6.4,22.4,,,,9.8,,1020.5,
2018-02-04 00:00:00,12.6,6,21.5,,,,8.3,,1019.3,
2018-02-05 00:00:00,13.5,5,23.7,,,,3.2,,1016.7,
2018-02-06 00:00:00,17.5,11.2,24.1,,,,15.9,,1017.9,
2018-02-07 00:00:00,13.5,,,,,,,,,
2018-02-08 00:00:00,12.5,4,22.9,,,,3.3,,1021.9,
2018-02-09 00:00:00,13.5,4.1,24,,,,4.7,,1017.2,
2018-02-10 00:00:00,13.9,4.7,22.1,,,,21.6,,1014,
2018-02-11 00:00:00,9.5,0.1,15.6,,,,16.7,,1012,
2018-02-12 00:00:00,8.9,0.5,15.9,,,,18.6,,1012.1,
2018-02-13 00:00:00,10.5,0.5,17.6,,,,19.1,,1020.4,
2018-02-14 00:00:00,8,-0.5,17.8,,,,15.9,,1021.1,
2018-02-15 00:00:00,10.5,4,18.5,,,,17.5,,1024.3,
2018-02-16 00:00:00,8.8,0,18.9,,,,5.9,,1023.7,
2018-02-17 00:00:00,10.4,0.1,20.4,,,,8.5,,1019.7,
2018-02-18 00:00:00,10.1,4.7,15,,,,26.7,,1013.7,
2018-02-19 00:00:00,5.2,-0.1,11.7,,,,9.1,,1016.3,
2018-02-20 00:00:00,4.1,-2.8,11.8,,,,7.3,,1022.9,
2018-02-21 00:00:00,5.7,-2.7,13.2,,,,12.3,,1022.5,
2018-02-22 00:00:00,6.8,0.7,13,,,,19.7,,1021.7,
2018-02-23 00:00:00,5,-2.8,12.3,,,,16,,1027.4,
2018-02-24 00:00:00,5.9,-3.5,15,,,,16.8,,1027.6,
2018-02-25 00:00:00,8,-1,17,,,,14.6,,1025.1,
2018-02-26 00:00:00,8.4,4.8,14.3,,,,17.5,,1015.3,
2018-02-27 00:00:00,8.3,2.5,15.1,,,,25.5,,1016.4,
2018-02-28 00:00:00,7.4,-1,13.5,,,,14,,1020.5,
2018-03-01 00:00:00,10.2,7.3,14.8,,,,30.5,,1011.3,
2018-03-02 00:00:00,6.3,1.3,10.7,,,,11.4,,1013.3,
2018-03-03 00:00:00,5.3,-0.4,11.6,,,,9,,1016.9,
2018-03-04 00:00:00,5.7,0.2,12,,,,8.2,,1025.6,
2018-03-05 00:00:00,6.6,-0.9,15.6,,,,12,,1025.3,
2018-03-06 00:00:00,8.5,1,18.1,,,,9.7,,1020.3,
2018-03-07 00:00:00,12.1,6.2,20.5,,,,10.4,,1016.9,
2018-03-08 00:00:00,13.8,9,19.7,,,,10.8,,,
2018-03-09 00:00:00,13.1,8.4,19.3,,,,14.8,,1015.8,
2018-03-10 00:00:00,12.2,8.5,16.4,,,,7.5,,1014.1,
2018-03-11 00:00:00,11.9,3.2,20.3,,,,4,,1018.1,
2018-03-12 00:00:00,14.1,,,,,,12.3,,1016.2,
2018-03-13 00:00:00,13.8,9.4,16.4,,,,20.6,,1012.8,
2018-03-14 00:00:00,9.7,5.7,14,,,,12.6,,1015.1,
2018-03-15 00:00:00,8.1,3.1,12,,,,18.4,,1015.1,
2018-03-16 00:00:00,9.4,5.9,13.2,,,,19.7,,1012.1,
2018-03-17 00:00:00,7.2,2.6,12.3,,,,10.3,,1016.5,
2018-03-18 00:00:00,7.1,0.6,13.3,,,,3,,1021.9,
2018-03-19 00:00:00,9.4,1,16.9,,,,9.2,,1019.9,
2018-03-20 00:00:00,10.8,9.1,12.6,,,,12.3,,1015.3,
2018-03-21 00:00:00,13.8,10.6,19.4,,,,11.5,,1010.2,
2018-03-22 00:00:00,13.5,7.9,16.5,,,,25,,1010.1,
2018-03-23 00:00:00,9.5,4,15.3,,,,18.9,,1021.7,
2018-03-24 00:00:00,9.1,4.3,13.2,,,,17.2,,1018.1,
2018-03-25 00:00:00,8,2.3,14.6,,,,11.5,,1020.4,
2018-03-26 00:00:00,11.1,2.5,18.7,,,,17,,1022,
2018-03-27 00:00:00,16.8,10.6,24.3,,,,15.6,,1022.3,
2018-03-28 00:00:00,16,6.1,27,,,,12.5,,1020.1,
2018-03-29 00:00:00,17.3,9.4,27.9,,,,8.5,,1018.1,
2018-03-30 00:00:00,16.4,6.2,26.1,,,,5.8,,1017.7,
2018-03-31 00:00:00,15.8,8.3,24.5,,,,12.7,,1015.7,
2018-04-01 00:00:00,15.5,8,23.9,,,,15.7,,1012.5,
2018-04-02 00:00:00,15.7,10.1,23.6,,,,15.9,,1011.2,
2018-04-03 00:00:00,14.8,8.2,23.1,,,,17.2,,1014.4,
2018-04-04 00:00:00,14.6,10.5,21.7,,,,24.1,,1016.6,
2018-04-05 00:00:00,13.2,10.6,16.3,,,,22.4,,1018,
2018-04-06 00:00:00,14.5,12.3,17,,,,16,,1014,
2018-04-07 00:00:00,15.8,11,19.5,,,,21.5,,1014.7,
2018-04-08 00:00:00,13.5,7.4,20.4,,,,7.9,,1021.4,
2018-04-09 00:00:00,15.6,,,,,,8.8,,1017.7,
2018-04-10 00:00:00,15.3,10.5,18,,,,20.2,,1017.2,
2018-04-11 00:00:00,,,,,,,,,,
2018-04-12 00:00:00,10.6,4.1,15.7,,,,13.7,,1023.5,
2018-04-13 00:00:00,13,4.5,22.2,,,,8.4,,1028.3,
2018-04-14 00:00:00,15.3,7.3,23.8,,,,9.1,,1023.7,
2018-04-15 00:00:00,12.5,8.4,17.3,,,,25.4,,1014.4,
2018-04-16 00:00:00,8.4,4.9,12.5,,,,12.2,,1016.4,
2018-04-17 00:00:00,8.6,1.8,16.2,,,,7.7,,1024.7,
2018-04-18 00:00:00,10.5,6.6,16.3,,,,14.1,,1018.4,
2018-04-19 00:00:00,12,2.9,20.3,,,,12.4,,1017.5,
2018-04-20 00:00:00,15.8,8.4,24.4,,,,15.9,,1020,
2018-04-21 00:00:00,17.3,9.4,25.9,,,,16,,1018.6,
2018-04-22 00:00:00,18.6,9.4,27,,,,8.5,,1014.3,
2018-04-23 00:00:00,19.3,11.2,28.5,,,,12.7,,1014,
2018-04-24 00:00:00,15.9,,,,,,26,,1014.6,
2018-04-25 00:00:00,14.4,8.6,22.7,,,,29.8,,1015.6,
2018-04-26 00:00:00,13.3,9.2,20,,,,39.5,,1014.3,
2018-04-27 00:00:00,14.1,10.2,19.3,,,,24.7,,1018.1,
2018-04-28 00:00:00,12.8,6,17.9,,,,16.4,,1018,
2018-04-29 00:00:00,13.6,8.3,19.6,,,,16.8,,1017.2,
2018-04-30 00:00:00,13.5,8.2,19.8,,,,19,,1015.1,
2018-05-01 00:00:00,15.1,8.9,23.4,,,,22.7,,1010,
2018-05-02 00:00:00,15.4,10.1,22.7,,,,25.4,,1013.9,
2018-05-03 00:00:00,14.2,9.9,21.4,,,,36.3,,1020.7,
2018-05-04 00:00:00,17.3,9.6,27.5,,,,19.5,,1021.2,
2018-05-05 00:00:00,16.2,11.6,22.9,,,,23.8,,1016,
2018-05-06 00:00:00,15.1,9.8,22.1,,,,33.7,,1016.4,
