date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,11.9,7,18,,,,2.2,,,
2018-01-02 00:00:00,,,,,,,,,,
2018-01-03 00:00:00,12.8,9,16,,,,6,,,
2018-01-04 00:00:00,14.2,13,16,,,,13.6,,,
2018-01-05 00:00:00,13.2,,,,,,11,,,
2018-01-06 00:00:00,10,5,13,,,,7,,,
2018-01-07 00:00:00,9.9,4,13,,,,3.9,,,
2018-01-08 00:00:00,12.2,10,14,,,,11,,,
2018-01-09 00:00:00,13.1,12,15,16.9,,,23.5,,,
2018-01-10 00:00:00,11.8,11,12,,,,14.4,,,
2018-01-11 00:00:00,11.3,9,14,,,,5.3,,,
2018-01-12 00:00:00,11.4,7,16,,,,7.4,,,
2018-01-13 00:00:00,15.1,10,20,,,,8.8,,,
2018-01-14 00:00:00,13.4,8,18,,,,4.6,,,
2018-01-15 00:00:00,12.1,8,15,,,,7.9,,,
2018-01-16 00:00:00,13.2,11,15,,,,3.4,,,
2018-01-17 00:00:00,10.7,8,13,,,,3.9,,,
2018-01-18 00:00:00,11.1,8,13,,,,8,,,
2018-01-19 00:00:00,10.2,7,13,,,,12.6,,,
2018-01-20 00:00:00,10.1,7,13,,,,20.1,,,
2018-01-21 00:00:00,,,,,,,,,,
2018-01-22 00:00:00,,,,,,,,,,
2018-01-23 00:00:00,9.5,4,14,,,,5.5,,,
2018-01-24 00:00:00,8.8,4,13,,,,10.6,,,
2018-01-25 00:00:00,9.2,6,13,,,,7.5,,,
2018-01-26 00:00:00,7.4,3,12,,,,5.8,,,
2018-01-27 00:00:00,10,4,17,,,,7,,,
2018-01-28 00:00:00,14.3,6,21,,,,9.5,,,
2018-01-29 00:00:00,14.7,9,21,,,,7.1,,,
2018-01-30 00:00:00,12.1,5,21,,,,9.4,,,
2018-01-31 00:00:00,11.8,,,,,,7.4,,,
2018-02-01 00:00:00,13.9,8,23,,,,6.2,,,
2018-02-02 00:00:00,14.1,7,24,,,,8.8,,,
2018-02-03 00:00:00,18.2,12,25,,,,13.2,,,
2018-02-04 00:00:00,17.8,11,24,,,,9.4,,,
2018-02-05 00:00:00,12.3,7,19,,,,8.9,,,
2018-02-06 00:00:00,15.2,8,23,,,,8.7,,,
2018-02-07 00:00:00,13.8,8,21,,,,3.3,,,
2018-02-08 00:00:00,10.7,4,20,,,,4.1,,,
2018-02-09 00:00:00,12.7,5,23,,,,10.4,,,
2018-02-10 00:00:00,12.3,9,15,,,,21.4,,,
2018-02-11 00:00:00,9.5,3,12,,,,17.7,,,
2018-02-12 00:00:00,9.9,3,13,,,,20.5,,,
2018-02-13 00:00:00,11.4,5,18,,,,9.3,,,
2018-02-14 00:00:00,8.8,3,14,,,,13.6,,,
2018-02-15 00:00:00,9.8,3,15,,,,13.2,,,
2018-02-16 00:00:00,7.5,1,13,,,,8.8,,,
2018-02-17 00:00:00,8.9,3,15,,,,10.4,,,
2018-02-18 00:00:00,9.9,8,12,,,,29,,,
2018-02-19 00:00:00,7.8,6,10,,,,28.3,,,
2018-02-20 00:00:00,5.4,-1,9,,,,9.6,,,
2018-02-21 00:00:00,7.8,2,11,,,,9.2,,,
2018-02-22 00:00:00,8.7,7,11,,,,29.5,,,
2018-02-23 00:00:00,6.1,0,10,,,,17.6,,,
2018-02-24 00:00:00,6.4,0,12,,,,15.7,,,
2018-02-25 00:00:00,7.9,2,12,,,,13.3,,,
2018-02-26 00:00:00,8.8,6,10,,,,17.2,,,
2018-02-27 00:00:00,7.3,2,11,,,,12.8,,,
2018-02-28 00:00:00,8.2,2,11,,,,12.5,,,
2018-03-01 00:00:00,10.9,9,13,,,,22.4,,,
2018-03-02 00:00:00,8.4,5,11,,,,13.1,,,
2018-03-03 00:00:00,7.5,3,10,,,,10.6,,,
2018-03-04 00:00:00,7.4,1,11,,,,8.1,,,
2018-03-05 00:00:00,11,6,17,,,,11.5,,,
2018-03-06 00:00:00,12.6,,,,,,5.1,,,
2018-03-07 00:00:00,12,8,15,,,,10.8,,,
2018-03-08 00:00:00,11.5,9,14,,,,8.5,,,
2018-03-09 00:00:00,9.7,7,12,,,,10.9,,,
2018-03-10 00:00:00,10.3,9,12,,,,4.6,,,
2018-03-11 00:00:00,10.3,7,16,,,,7.3,,,
2018-03-12 00:00:00,11.5,9,15,,,,13.7,,,
2018-03-13 00:00:00,12.8,10,14,,,,18.8,,,
2018-03-14 00:00:00,10.4,8,12,,,,12.2,,,
2018-03-15 00:00:00,9.6,5,13,,,,16.9,,,
2018-03-16 00:00:00,10.1,9,12,,,,14.9,,,
2018-03-17 00:00:00,8.9,5,12,,,,7.7,,,
2018-03-18 00:00:00,7.8,3,12,,,,4.4,,,
2018-03-19 00:00:00,11,3,18,,,,6.8,,,
2018-03-20 00:00:00,12,10,14,,,,11,,,
2018-03-21 00:00:00,13.5,12,14,,,,28.2,,,
2018-03-22 00:00:00,11.8,9,13,,,,28.5,,,
2018-03-23 00:00:00,10.1,5,13,,,,11.7,,,
2018-03-24 00:00:00,10.2,8,12,,,,11.3,,,
2018-03-25 00:00:00,9,,,,,,16,,,
2018-03-26 00:00:00,10.8,,,,,,21.3,,,
2018-03-27 00:00:00,11.8,7,15,,,,17.4,,,
2018-03-28 00:00:00,11.4,,,,,,9,,,
2018-03-29 00:00:00,14.2,,,,,,9.8,,,
2018-03-30 00:00:00,13.3,7,20,,,,5.6,,,
2018-03-31 00:00:00,10.2,7,13,,,,7.6,,,
2018-04-01 00:00:00,11.5,7,14,,,,12.4,,,
2018-04-02 00:00:00,11.4,7,14,,,,20,,,
2018-04-03 00:00:00,9.9,5,13,,,,9,,,
2018-04-04 00:00:00,11.5,9,14,,,,7,,,
2018-04-05 00:00:00,11.8,8,14,,,,5.4,,,
2018-04-06 00:00:00,13.6,12,15,,,,18.5,,,
2018-04-07 00:00:00,14,12,15,,,,13.9,,,
2018-04-08 00:00:00,12.5,9,15,,,,14.8,,,
2018-04-09 00:00:00,13.6,,,,,,6.6,,,
2018-04-10 00:00:00,12.3,,,,,,8.3,,,
2018-04-11 00:00:00,11.2,7,14,,,,13.7,,,
2018-04-12 00:00:00,10.9,8,13,,,,21,,,
2018-04-13 00:00:00,10.8,,,,,,15.1,,,
2018-04-14 00:00:00,10.8,5,15,,,,12.2,,,
2018-04-15 00:00:00,10.3,5,14,,,,8.1,,,
2018-04-16 00:00:00,9.2,5,12,,,,15.1,,,
2018-04-17 00:00:00,9.7,4,13,,,,13.8,,,
2018-04-18 00:00:00,9.3,5,12,,,,7.7,,,
2018-04-19 00:00:00,10.3,5,13,,,,14.4,,,
2018-04-20 00:00:00,10.4,8,13,,,,9.4,,,
2018-04-21 00:00:00,10.4,5,16,,,,9.3,,,
