date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,11.9,6.7,17.2,0,,,2.1,,1022.3,
2018-01-02 00:00:00,12.4,8.9,16.1,0,,,2.8,,1020.7,
2018-01-03 00:00:00,12.2,8.3,15.6,,,,5.8,,1016.7,
2018-01-04 00:00:00,16.1,12.2,20.6,,,,14.5,,1018.1,
2018-01-05 00:00:00,15.5,12.2,18.9,,,,10.8,,1021.8,
2018-01-06 00:00:00,12.8,10,16.1,,,,7.2,,1022.6,
2018-01-07 00:00:00,10.5,8.3,13.3,0,,,3,,1019.4,
2018-01-08 00:00:00,13.7,11.1,16.1,31.7,,,9,,1008.6,
2018-01-09 00:00:00,13.5,11.1,15.6,,,,14.5,,1005.4,
2018-01-10 00:00:00,11.5,7.8,13.3,0,,,7.7,,1020.6,
2018-01-11 00:00:00,14,12.2,17.8,0,,,4.2,,1025.9,
2018-01-12 00:00:00,12.6,10,15.6,0,,,7.8,,1026.8,
2018-01-13 00:00:00,11.2,6.1,18.3,0,,,3.5,,1022.6,
2018-01-14 00:00:00,10.7,7.8,15,0,,,3.6,,1020.7,
2018-01-15 00:00:00,12.8,8.3,19.4,0,,,5.3,,1019.4,
2018-01-16 00:00:00,14.6,12.2,18.9,0,,,6.2,,1022.4,
2018-01-17 00:00:00,14.8,12.2,18.3,0,,,5,,1022.8,
2018-01-18 00:00:00,13.5,10.6,20,,,,12.4,,1018.9,
2018-01-19 00:00:00,11.2,8.3,14.4,,,,10.6,,1019.2,
2018-01-20 00:00:00,9.2,4.4,14.4,0,,,7.6,,1021.9,
2018-01-21 00:00:00,9.6,3.3,15,0,,,7.2,,1027.2,
2018-01-22 00:00:00,11.8,10,15,,,,14,,1026.4,
2018-01-23 00:00:00,11.3,7.8,16.7,0,,,3.6,,1024.1,
2018-01-24 00:00:00,10.5,6.1,16.7,,,,11.6,,1018.6,
2018-01-25 00:00:00,9.7,6.7,13.9,,,,8.8,,1020,
2018-01-26 00:00:00,9.7,6.7,14.4,0.3,,,7,,1027.1,
2018-01-27 00:00:00,10.4,4.4,17.2,0,,,6.9,,1029.6,
2018-01-28 00:00:00,12.5,6.1,20,0,,,4.7,,1026.7,
2018-01-29 00:00:00,12.1,7.2,17.2,0,,,4.9,,1023.2,
2018-01-30 00:00:00,13.3,7.8,20.6,0,,,4,,1020,
2018-01-31 00:00:00,13.2,,,,,,4.9,,1018.3,
2018-02-01 00:00:00,15.1,9.4,23.3,0,,,5.8,,1019.1,
2018-02-02 00:00:00,16.4,9.4,24.4,0,,,7.5,,1020.4,
2018-02-03 00:00:00,17.6,10.6,25.6,0,,,6.9,,1019.9,
2018-02-04 00:00:00,16.5,9.4,23.9,0,,,5.7,,1018.7,
2018-02-05 00:00:00,16.3,10,25.6,0,,,5.9,,1016.5,
2018-02-06 00:00:00,17.9,9.4,25,0,,,8.8,,1017.7,
2018-02-07 00:00:00,16.2,10,23.9,0,,,4.3,,1022.8,
