date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,9.7,3,18,,,,5.1,,,
2018-01-02 00:00:00,11.2,7,18,,,,4.7,,,
2018-01-03 00:00:00,9.8,6,13,,,,4.8,,,
2018-01-04 00:00:00,13.8,7,20,,,,3.3,,,
2018-01-05 00:00:00,13.7,11,17,,,,5.4,,,
2018-01-06 00:00:00,11.8,8,15,,,,9.2,,,
2018-01-07 00:00:00,10.8,7,17,,,,7,,,
2018-01-08 00:00:00,12.8,11,15,,,,7.1,,,
2018-01-09 00:00:00,13.1,10,15,,,,9.4,,,
2018-01-10 00:00:00,10.8,8,12,,,,4.5,,,
2018-01-11 00:00:00,13.5,11,18,,,,5.1,,,
2018-01-12 00:00:00,12,8,15,,,,10.9,,,
2018-01-13 00:00:00,10.2,4,19,,,,3.6,,,
2018-01-14 00:00:00,9.9,5,16,,,,6.4,,,
2018-01-15 00:00:00,11.7,7,18,,,,5.5,,,
2018-01-16 00:00:00,12.9,9,18,,,,4.9,,,
2018-01-17 00:00:00,13.2,,,,,,4.3,,,
2018-01-18 00:00:00,12.1,,,,,,9,,,
2018-01-19 00:00:00,9.7,7,13,,,,8.6,,,
2018-01-20 00:00:00,7.7,3,13,,,,8.4,,,
2018-01-21 00:00:00,6.3,0,14,,,,2.1,,,
2018-01-22 00:00:00,9.6,8,14,,,,4.5,,,
2018-01-23 00:00:00,9.3,4,17,,,,2.3,,,
2018-01-24 00:00:00,7.6,3,14,,,,6.3,,,
2018-01-25 00:00:00,7.3,3,11,,,,4.1,,,
2018-01-26 00:00:00,6.9,2,14,,,,5.1,,,
2018-01-27 00:00:00,8.7,2,16,,,,10.5,,,
2018-01-28 00:00:00,10.4,3,19,,,,8.4,,,
2018-01-29 00:00:00,9.6,4,15,,,,6.4,,,
2018-01-30 00:00:00,11.8,5,20,,,,9.3,,,
2018-01-31 00:00:00,11.7,,,,,,7.2,,,
2018-02-01 00:00:00,12.5,6,22,,,,7.7,,,
2018-02-02 00:00:00,12.8,5,23,,,,5.7,,,
2018-02-03 00:00:00,13.8,5,24,,,,7.2,,,
2018-02-04 00:00:00,13.9,6,23,,,,7,,,
2018-02-05 00:00:00,13.8,5,24,,,,6.2,,,
2018-02-06 00:00:00,13.5,5,23,,,,7.1,,,
2018-02-07 00:00:00,13.1,4,25,,,,5.1,,,
2018-02-08 00:00:00,13.5,4,24,,,,5.5,,,
2018-02-09 00:00:00,14,5,24,,,,6.5,,,
2018-02-10 00:00:00,13,7,20,,,,11.4,,,
2018-02-11 00:00:00,9.2,2,17,,,,8.5,,,
2018-02-12 00:00:00,9.3,5,15,,,,10.7,,,
2018-02-13 00:00:00,8.4,0,18,,,,5.3,,,
2018-02-14 00:00:00,9.5,3,17,,,,10.6,,,
2018-02-15 00:00:00,9.2,3,17,,,,11,,,
2018-02-16 00:00:00,8.6,0,19,,,,6.8,,,
2018-02-17 00:00:00,10.4,2,21,,,,6.7,,,
2018-02-18 00:00:00,9.2,5,14,,,,15.3,,,
2018-02-19 00:00:00,6.3,3,11,,,,14.9,,,
2018-02-20 00:00:00,5,-2,12,,,,7.7,,,
2018-02-21 00:00:00,6,0,13,,,,3.6,,,
2018-02-22 00:00:00,6,1,12,,,,10,,,
2018-02-23 00:00:00,5.9,0,12,,,,10.6,,,
2018-02-24 00:00:00,5.8,-3,14,,,,9.8,,,
2018-02-25 00:00:00,8.7,1,17,,,,9.1,,,
2018-02-26 00:00:00,6,3,10,,,,6.8,,,
2018-02-27 00:00:00,7.5,2,13,,,,10.4,,,
2018-02-28 00:00:00,6,-2,13,,,,5,,,
2018-03-01 00:00:00,10.2,8,13,,,,15.7,,,
2018-03-02 00:00:00,8.8,7,12,,,,8.2,,,
2018-03-03 00:00:00,6.1,3,12,,,,5.3,,,
2018-03-04 00:00:00,6.6,0,14,,,,4.3,,,
2018-03-05 00:00:00,7.9,0,17,,,,5,,,
2018-03-06 00:00:00,10.6,2,22,,,,3.6,,,
2018-03-07 00:00:00,12.3,7,21,,,,4.6,,,
2018-03-08 00:00:00,14.4,8,23,,,,4.6,,,
2018-03-09 00:00:00,13.4,8,19,,,,9.7,,,
2018-03-10 00:00:00,11,7,14,,,,3.4,,,
2018-03-11 00:00:00,12.9,6,22,,,,4.2,,,
2018-03-12 00:00:00,14.4,7,23,,,,5.8,,,
2018-03-13 00:00:00,13.8,12,15,,,,8.8,,,
2018-03-14 00:00:00,10.1,8,13,,,,7.4,,,
2018-03-15 00:00:00,8.3,3,12,,,,9.2,,,
2018-03-16 00:00:00,9.5,5,13,,,,9.4,,,
2018-03-17 00:00:00,6.7,4,10,,,,2.8,,,
2018-03-18 00:00:00,7.3,0,14,,,,3.1,,,
2018-03-19 00:00:00,10.1,0,19,,,,4.3,,,
2018-03-20 00:00:00,11.5,11,12,,,,11,,,
2018-03-21 00:00:00,14.5,11,19,,,,6.5,,,
2018-03-22 00:00:00,12.3,5,15,,,,15.2,,,
2018-03-23 00:00:00,7.9,2,15,,,,6.2,,,
2018-03-24 00:00:00,8.3,4,13,,,,6,,,
2018-03-25 00:00:00,8.5,3,14,,,,11.2,,,
2018-03-26 00:00:00,10.8,,,,,,15.3,,,
2018-03-27 00:00:00,12.6,3,22,,,,7.5,,,
2018-03-28 00:00:00,15,5,25,,,,6.2,,,
2018-03-29 00:00:00,17.1,8,27,,,,6.8,,,
2018-03-30 00:00:00,17.2,8,28,,,,3.4,,,
2018-03-31 00:00:00,16.1,7,27,,,,4.8,,,
2018-04-01 00:00:00,14.5,8,24,,,,8.2,,,
2018-04-02 00:00:00,,,,,,,,,,
2018-04-03 00:00:00,,,,,,,,,,
2018-04-04 00:00:00,13.9,8,22,,,,4.2,,,
2018-04-05 00:00:00,13.8,8,20,,,,4.6,,,
2018-04-06 00:00:00,14.4,12,17,,,,8.4,,,
2018-04-07 00:00:00,15.8,12,19,,,,8.8,,,
2018-04-08 00:00:00,13,8,19,,,,14,,,
2018-04-09 00:00:00,15.8,6,27,,,,3.6,,,
2018-04-10 00:00:00,16.4,,,,,,8.5,,,
2018-04-11 00:00:00,11.5,5,18,,,,12.4,,,
2018-04-12 00:00:00,10.7,7,15,,,,15.1,,,
2018-04-13 00:00:00,12.7,,,,,,14.4,,,
2018-04-14 00:00:00,15.1,5,24,,,,7.7,,,
2018-04-15 00:00:00,13.5,8,19,,,,8.3,,,
2018-04-16 00:00:00,9.3,7,13,,,,8.8,,,
2018-04-17 00:00:00,11.4,5,18,,,,5.7,,,
2018-04-18 00:00:00,10.9,7,17,,,,7.3,,,
2018-04-19 00:00:00,12,5,19,,,,9.5,,,
2018-04-20 00:00:00,13.8,5,24,,,,6.6,,,
2018-04-21 00:00:00,16.6,7,28,,,,8.4,,,
2018-04-22 00:00:00,18.5,9,29,,,,6.2,,,
2018-04-23 00:00:00,16,9,28,,,,7.4,,,
2018-04-24 00:00:00,14.2,10,25,,,,7.3,,,
2018-04-25 00:00:00,13.4,8,23,,,,8.3,,,
2018-04-26 00:00:00,13.1,,,,,,6,,,
2018-04-27 00:00:00,13.8,7,19,,,,8.8,,,
2018-04-28 00:00:00,12.7,6,17,,,,8.2,,,
2018-04-29 00:00:00,12,7,17,,,,8.2,,,
2018-04-30 00:00:00,11.1,6,17,,,,8,,,
2018-05-01 00:00:00,11.8,6,19,,,,8.8,,,
2018-05-02 00:00:00,13.4,9,19,,,,12.7,,,
2018-05-03 00:00:00,14.4,9,23,,,,9.4,,,
2018-05-04 00:00:00,17.9,10,27,,,,12.4,,,
2018-05-05 00:00:00,15.8,10,24,,,,8.9,,,
2018-05-06 00:00:00,,,,,,,,,,
2018-05-07 00:00:00,,,,,,,,,,
2018-05-08 00:00:00,,,,,,,,,,
2018-05-09 00:00:00,,,,,,,,,,
2018-05-10 00:00:00,,,,,,,,,,
2018-05-11 00:00:00,,,,,,,,,,
2018-05-12 00:00:00,,,,,,,,,,
2018-05-13 00:00:00,,,,,,,,,,
2018-05-14 00:00:00,,,,,,,,,,
2018-05-15 00:00:00,,,,,,,,,,
2018-05-16 00:00:00,,,,,,,,,,
2018-05-17 00:00:00,,,,,,,,,,
2018-05-18 00:00:00,,,,,,,,,,
2018-05-19 00:00:00,15.6,12,22,,,,15.3,,,
2018-05-20 00:00:00,14.5,12,20,,,,13.7,,,
2018-05-21 00:00:00,14.3,12,20,,,,11.7,,,
2018-05-22 00:00:00,13.8,11,18,,,,10.9,,,
2018-05-23 00:00:00,14.5,12,19,,,,11,,,
2018-05-24 00:00:00,14.3,12,18,,,,9.7,,,
2018-05-25 00:00:00,14.4,,,,,,10.1,,,
2018-05-26 00:00:00,14.5,12,18,,,,8.9,,,
2018-05-27 00:00:00,17.2,7,28,,,,6.1,,,
2018-05-28 00:00:00,21.5,11,34,,,,6.1,,,
2018-05-29 00:00:00,19.9,13,30,,,,9.4,,,
2018-05-30 00:00:00,14.5,11,19,,,,13.3,,,
2018-05-31 00:00:00,13.3,9,19,,,,11.4,,,
2018-06-01 00:00:00,16.9,7,28,,,,9.3,,,
2018-06-02 00:00:00,22.9,11,35,,,,7.1,,,
2018-06-03 00:00:00,,,,,,,,,,
2018-06-04 00:00:00,,,,,,,,,,
2018-06-05 00:00:00,,,,,,,,,,
2018-06-06 00:00:00,,,,,,,,,,
2018-06-07 00:00:00,,,,,,,,,,
2018-06-08 00:00:00,17.9,9,28,,,,13.3,,,
2018-06-09 00:00:00,17,13,22,,,,20.2,,,
2018-06-10 00:00:00,16.8,11,24,,,,20.5,,,
2018-06-11 00:00:00,19.6,10,29,,,,12.2,,,
2018-06-12 00:00:00,23.7,12,35,,,,9.9,,,
2018-06-13 00:00:00,20.8,12,32,,,,7.9,,,
2018-06-14 00:00:00,16,11,23,,,,15.3,,,
2018-06-15 00:00:00,14.2,12,18,,,,18.3,,,
2018-06-16 00:00:00,14.5,12,18,,,,16.4,,,
2018-06-17 00:00:00,15.5,13,20,,,,11.4,,,
2018-06-18 00:00:00,18.7,13,29,,,,10.8,,,
2018-06-19 00:00:00,19.1,11,28,,,,12.4,,,
2018-06-20 00:00:00,,,,,,,,,,
2018-06-21 00:00:00,19.6,11,29,,,,15.2,,,
2018-06-22 00:00:00,,,,,,,,,,
2018-06-23 00:00:00,22.3,,,,,,12.4,,,
2018-06-24 00:00:00,18.3,13,25,,,,17.8,,,
2018-06-25 00:00:00,17.6,14,23,,,,12.8,,,
2018-06-26 00:00:00,17.5,,,,,,11.5,,,
2018-06-27 00:00:00,15.9,12,23,,,,15.4,,,
2018-06-28 00:00:00,17.3,13,25,,,,14.1,,,
2018-06-29 00:00:00,19.2,,,,,,12.2,,,
2018-06-30 00:00:00,19.8,13,31,,,,9.9,,,
2018-07-01 00:00:00,18.4,13,27,,,,15.3,,,
2018-07-02 00:00:00,17.5,13,25,,,,15.2,,,
2018-07-03 00:00:00,15.4,13,19,,,,19.6,,,
2018-07-04 00:00:00,17.2,14,23,,,,13.8,,,
2018-07-05 00:00:00,20.3,10,32,,,,6.7,,,
2018-07-06 00:00:00,25.2,18,33,,,,19.9,,,
2018-07-07 00:00:00,25.1,17,33,,,,17.5,,,
2018-07-08 00:00:00,23.8,14,33,,,,17.9,,,
2018-07-09 00:00:00,24.7,15,35,,,,16.9,,,
2018-07-10 00:00:00,24.5,16,34,,,,14.8,,,
2018-07-11 00:00:00,20.1,13,32,,,,11.4,,,
2018-07-12 00:00:00,19.8,14,31,,,,11,,,
2018-07-13 00:00:00,22.1,15,34,,,,8.7,,,
2018-07-14 00:00:00,21.5,15,32,,,,10.7,,,
2018-07-15 00:00:00,20,14,29,,,,7,,,
2018-07-16 00:00:00,20,14,30,,,,8.2,,,
2018-07-17 00:00:00,20.7,13,34,,,,6.2,,,
2018-07-18 00:00:00,,,,,,,,,,
2018-07-19 00:00:00,,,,,,,,,,
2018-07-20 00:00:00,,,,,,,,,,
2018-07-21 00:00:00,,,,,,,,,,
2018-07-22 00:00:00,,,,,,,,,,
2018-07-23 00:00:00,,,,,,,,,,
2018-07-24 00:00:00,,,,,,,,,,
2018-07-25 00:00:00,,,,,,,,,,
2018-07-26 00:00:00,,,,,,,,,,
2018-07-27 00:00:00,22,14,32,,,,14.9,,,
2018-07-28 00:00:00,21.5,13,33,,,,10.6,,,
2018-07-29 00:00:00,21.3,13,32,,,,12.8,,,
2018-07-30 00:00:00,22.7,14,33,,,,15.4,,,
2018-07-31 00:00:00,21.9,13,33,,,,7.2,,,
2018-08-01 00:00:00,21.5,13,32,,,,12.2,,,
2018-08-02 00:00:00,21.3,13,32,,,,12.8,,,
2018-08-03 00:00:00,,,,,,,,,,
2018-08-04 00:00:00,23.7,14,34,,,,13.7,,,
