date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,10.6,5,16.7,0,0,,2.9,,1022.8,
2018-01-02 00:00:00,11,7.8,14.4,0,0,,1.1,,1021.2,
2018-01-03 00:00:00,11,8.3,14.4,8.9,0,,3.2,,1017.3,
2018-01-04 00:00:00,15.7,11.7,20,0,0,,11.9,,1018.5,
2018-01-05 00:00:00,15.4,11.7,18.9,1,0,,11.9,,1022.1,
2018-01-06 00:00:00,11.9,7.8,15,1,0,,4.7,,1023.1,
2018-01-07 00:00:00,9.9,6.7,12.2,0.3,0,,2.2,,1019.9,
2018-01-08 00:00:00,12.6,10,15,38.1,0,,6.1,,1009.1,
2018-01-09 00:00:00,12.4,10,13.9,10.9,0,,11.2,,1006,
2018-01-10 00:00:00,11.1,6.7,13.3,0,0,,7.2,,1021,
2018-01-11 00:00:00,12.6,10.6,16.7,0,0,,4.7,,1026.4,
2018-01-12 00:00:00,10.9,9.4,13.3,0,0,,7.6,,1027.4,
2018-01-13 00:00:00,10,5,15.6,0,0,,4.7,,1023.2,
2018-01-14 00:00:00,9.4,7.2,12.2,0,0,,4.3,,1021.1,
2018-01-15 00:00:00,10.5,6.1,15,0,0,,4.7,,1020,
2018-01-16 00:00:00,12.6,10.6,16.1,0,0,,5.8,,1023,
2018-01-17 00:00:00,12.2,10,15.6,0,0,,4.3,,1023.4,
2018-01-18 00:00:00,11.6,8.9,17.8,1.8,0,,8.3,,1019.3,
2018-01-19 00:00:00,9.5,5,12.2,0,0,,6.1,,1019.8,
2018-01-20 00:00:00,7.6,2.8,12.8,0,0,,5.4,,1022.5,
2018-01-21 00:00:00,8.7,1.1,13.9,0,0,,5,,1027.6,
2018-01-22 00:00:00,11.3,9.4,14.4,1.3,0,,10.8,,1026.8,
2018-01-23 00:00:00,10.6,7.2,15,0,,,3.2,,1024.6,
2018-01-24 00:00:00,9.7,4.4,16.1,5.6,,,5.8,,1019,
2018-01-25 00:00:00,9.2,5.6,13.3,1,,,6.5,,1020.5,
2018-01-26 00:00:00,8.9,5,13.3,0,,,5,,1027.7,
2018-01-27 00:00:00,10,3.9,16.1,0,,,6.1,,1030.1,
2018-01-28 00:00:00,13.8,10,20.6,0,,,9.4,,1027.2,
2018-01-29 00:00:00,11.6,7.2,16.7,0,,,3.6,,1023.7,
2018-01-30 00:00:00,12.5,6.7,19.4,0,,,3.6,,1020.5,
2018-01-31 00:00:00,12.5,5.6,18.9,0,,,3.6,,1018.9,
2018-02-01 00:00:00,14.7,8.3,22.8,0,,,4.3,,1019.6,
2018-02-02 00:00:00,15.9,8.3,23.9,0,,,4.7,,1021,
2018-02-03 00:00:00,18.1,10,25,0,,,4.7,,1020.5,
2018-02-04 00:00:00,16.6,8.9,23.9,0,,,2.9,,1019.2,
2018-02-05 00:00:00,15.3,8.9,24.4,0,,,3.2,,1017,
2018-02-06 00:00:00,16.9,9.4,24.4,0,,,3.6,,1018.3,
2018-02-07 00:00:00,15.6,8.9,23.3,0,,,3.2,,1023.3,
2018-02-08 00:00:00,15.4,8.3,22.8,0,,,2.2,,1022.2,
2018-02-09 00:00:00,15.6,8.3,25,0,,,4.3,,1017.8,
2018-02-10 00:00:00,14.6,8.3,21.7,0,,,7.9,,1014.8,
2018-02-11 00:00:00,11.2,4.4,15.6,0,,,9.7,,1013.7,
2018-02-12 00:00:00,10.9,7.2,15.6,0,,,7.6,,1012.9,
2018-02-13 00:00:00,11.7,6.7,17.8,0,,,9.4,,1020.6,
2018-02-14 00:00:00,10.2,4.4,16.7,0,,,5.8,,1022.5,
