date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,8.9,4,17,,,,0.6,,,
2018-01-02 00:00:00,9.7,,,,,,5.3,,,
2018-01-03 00:00:00,11.4,10,13,,,,9,,,
2018-01-04 00:00:00,13.3,11,15,,,,8.3,,,
2018-01-05 00:00:00,13.8,12,15,,,,5,,,
2018-01-06 00:00:00,8.8,4,15,,,,2.1,,,
2018-01-07 00:00:00,6.5,3,10,,,,1.5,,,
2018-01-08 00:00:00,10.8,9,13,,,,10.8,,,
2018-01-09 00:00:00,12.5,9,15,,,,11.4,,,
2018-01-10 00:00:00,9.3,6,14,,,,4.5,,,
2018-01-11 00:00:00,10.2,6,14,,,,1.2,,,
2018-01-12 00:00:00,10.5,5,17,,,,4.9,,,
2018-01-13 00:00:00,9.1,4,15,,,,8,,,
2018-01-14 00:00:00,10.1,,,,,,12.6,,,
2018-01-15 00:00:00,10.3,,,,,,6.2,,,
2018-01-16 00:00:00,12,10,13,,,,3.3,,,
2018-01-17 00:00:00,11.8,,,,,,4.2,,,
2018-01-18 00:00:00,11.1,,,,,,7.5,,,
2018-01-19 00:00:00,7.1,4,13,,,,4.8,,,
2018-01-20 00:00:00,7.1,2,14,,,,8.4,,,
2018-01-21 00:00:00,6.7,,,,,,2.9,,,
2018-01-22 00:00:00,11.5,7,14,,,,4.8,,,
2018-01-23 00:00:00,7.7,4,14,,,,1.8,,,
2018-01-24 00:00:00,8,4,13,,,,4.4,,,
2018-01-25 00:00:00,7.1,2,13,,,,3.6,,,
2018-01-26 00:00:00,5.8,2,12,,,,3.3,,,
2018-01-27 00:00:00,9.1,4,15,,,,3,,,
2018-01-28 00:00:00,8.6,2,16,,,,2.5,,,
2018-01-29 00:00:00,9.2,,,,,,5.1,,,
2018-01-30 00:00:00,,,,,,,,,,
2018-01-31 00:00:00,,,,,,,,,,
2018-02-01 00:00:00,12.2,5,23,,,,1.1,,,
2018-02-02 00:00:00,12.4,6,21,,,,2.3,,,
2018-02-03 00:00:00,12.5,5,23,,,,3,,,
2018-02-04 00:00:00,12.8,6,23,,,,1.7,,,
2018-02-05 00:00:00,12.6,,,,,,2,,,
2018-02-06 00:00:00,13.4,5,26,,,,3.1,,,
2018-02-07 00:00:00,11.8,3,22,,,,5.3,,,
2018-02-08 00:00:00,12.3,,,,,,2.4,,,
2018-02-09 00:00:00,12.6,4,24,,,,3.9,,,
2018-02-10 00:00:00,13.5,8,21,,,,9.2,,,
2018-02-11 00:00:00,7.6,1,15,,,,12,,,
2018-02-12 00:00:00,8.5,2,16,,,,10.8,,,
2018-02-13 00:00:00,10.2,4,17,,,,5,,,
2018-02-14 00:00:00,6.3,-1,15,,,,7.9,,,
2018-02-15 00:00:00,8,1,18,,,,6,,,
2018-02-16 00:00:00,7.6,0,19,,,,2.7,,,
2018-02-17 00:00:00,9.3,,,,,,5,,,
2018-02-18 00:00:00,8,2,14,,,,12.7,,,
2018-02-19 00:00:00,5.5,0,12,,,,12.1,,,
2018-02-20 00:00:00,3.5,-4,10,,,,3.2,,,
2018-02-21 00:00:00,5.6,-1,13,,,,4.6,,,
2018-02-22 00:00:00,,,,,,,,,,
2018-02-23 00:00:00,,,,,,,,,,
