date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,10.7,5.6,14.4,0,0,,5,,,
2018-01-02 00:00:00,11.4,8.3,15,0,0,,2.5,,,
2018-01-03 00:00:00,11.5,8.9,13.9,10.2,0,,4.3,,,
2018-01-04 00:00:00,13.9,11.7,20,0,0,,8.6,,,
2018-01-05 00:00:00,15.4,11.7,16.7,5.3,0,,7.2,,,
2018-01-06 00:00:00,12.3,7.8,14.4,0,0,,4.7,,,
2018-01-07 00:00:00,9.8,7.2,11.7,0,0,,4,,,
2018-01-08 00:00:00,12,10.6,16.1,42.9,0,,7.2,,,
2018-01-09 00:00:00,14.3,9.4,15,10.7,0,,12.2,,,
2018-01-10 00:00:00,10.9,6.7,13.9,0,0,,5.4,,,
2018-01-11 00:00:00,13.5,10,16.1,0,0,,4,,,
2018-01-12 00:00:00,11.5,9.4,15,0,0,,4.7,,,
2018-01-13 00:00:00,11.6,6.1,17.2,0,0,,12.6,,,
2018-01-14 00:00:00,10.5,6.1,15.6,0,0,,7.9,,,
2018-01-15 00:00:00,11.9,8.3,16.7,0,0,,5,,,
2018-01-16 00:00:00,14.2,12.8,17.8,0,0,,7.6,,,
2018-01-17 00:00:00,13.5,10,16.7,0,0,,6.5,,,
2018-01-18 00:00:00,12.6,10,17.2,1,0,,11.5,,,
2018-01-19 00:00:00,11.3,6.1,14.4,0,0,,8.6,,,
2018-01-20 00:00:00,8.2,2.8,13.3,0,0,,6.5,,,
2018-01-21 00:00:00,8.5,3.3,13.9,0,0,,7.6,,,
2018-01-22 00:00:00,12.2,9.4,15,0,0,,12.6,,,
2018-01-23 00:00:00,10.6,6.1,13.9,0,0,,5.8,,,
2018-01-24 00:00:00,10.2,6.1,16.1,7.1,0,,12.2,,,
2018-01-25 00:00:00,9.9,6.1,13.9,1,0,,10.8,,,
2018-01-26 00:00:00,9.2,4.4,13.3,0,0,,7.6,,,
2018-01-27 00:00:00,9.3,5,16.7,0,0,,8.6,,,
2018-01-28 00:00:00,13,6.1,19.4,0,0,,7.9,,,
2018-01-29 00:00:00,13,7.8,17.8,0,0,,6.1,,,
2018-01-30 00:00:00,12.4,6.1,18.9,0,0,,4.7,,,
2018-01-31 00:00:00,12.6,7.2,20.6,0,0,,7.9,,,
2018-02-01 00:00:00,14,9.4,20,0,,,4.7,,,
2018-02-02 00:00:00,15.7,8.9,25.6,0,0,,6.1,,,
2018-02-03 00:00:00,16.5,8.3,27.2,0,0,,7.2,,,
