date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01 00:00:00,10.4,2.8,19.4,0,,,4,,1022.7,
2018-01-02 00:00:00,10.2,3.3,16.7,0,,,3.2,,1022.1,
2018-01-03 00:00:00,10.5,6.1,14.4,,,,2.2,,1018.2,
2018-01-04 00:00:00,12.5,10.6,16.1,,,,5.7,,1019.2,
2018-01-05 00:00:00,13.8,10,17.2,,,,7,,1021.7,
2018-01-06 00:00:00,10.7,5,15.6,0,,,6.1,,1022.5,
2018-01-07 00:00:00,7.8,3.3,11.1,0,,,4.4,,1020.4,
2018-01-08 00:00:00,9.9,9.4,10.6,,,,11,,1010.4,
2018-01-09 00:00:00,12.3,8.9,15.6,,,,8.8,,1005.6,
2018-01-10 00:00:00,11.4,7.2,16.7,0,,,8.4,,1019.6,
2018-01-11 00:00:00,11,6.7,16.7,0,,,4.7,,1026.2,
2018-01-12 00:00:00,9.7,5,17.8,0,,,6,,1027.4,
2018-01-13 00:00:00,8.6,4,13.3,,,,3.8,,1024.8,
2018-01-14 00:00:00,10.1,8.9,12.2,0,,,5,,1022.6,
2018-01-15 00:00:00,9.4,7.8,11.7,0,,,4,,1020.7,
2018-01-16 00:00:00,11.8,8.9,14.4,,,,6.9,,1023.6,
2018-01-17 00:00:00,10.5,6.7,13.3,0,,,2.8,,1024,
2018-01-18 00:00:00,11.5,10,13.9,,,,10.7,,1018.5,
2018-01-19 00:00:00,10.2,7.2,14.4,0,,,8.4,,1018.9,
2018-01-20 00:00:00,8.7,2.2,16.1,0,,,6.8,,1021.4,
2018-01-21 00:00:00,7.4,0,13.3,,,,8.2,,1027,
2018-01-22 00:00:00,9.1,6.7,11.1,,,,10.4,,1027,
2018-01-23 00:00:00,8.8,3.3,15,0,,,5.5,,1025,
2018-01-24 00:00:00,7.9,2.8,11.1,,,,9.4,,1018.2,
2018-01-25 00:00:00,8,4.4,12.2,,,,8.4,,1019.4,
2018-01-26 00:00:00,6.8,0.6,12.2,0,,,5.2,,1027.5,
2018-01-27 00:00:00,9.9,4.4,17.2,0,,,4.8,,1030.2,
2018-01-28 00:00:00,9.5,1.7,17.8,0,,,6.7,,1028.1,
2018-01-29 00:00:00,9.2,4.4,15.6,0,,,4.5,,1024.8,
2018-01-30 00:00:00,9.8,2.2,20,0,,,2.9,,1020.8,
2018-01-31 00:00:00,11,3.9,21.1,,,,5.7,,1019,
2018-02-01 00:00:00,13,5.6,24.4,0,,,5.4,,1019.6,
2018-02-02 00:00:00,13.4,6.1,23.3,0,,,8.5,,1021.2,
2018-02-03 00:00:00,15,7.2,25,0,,,8.9,,1020.7,
2018-02-04 00:00:00,14.9,7.2,23.9,0,,,5.4,,1019.4,
2018-02-05 00:00:00,14.5,6.1,24.4,0,,,4.2,,1016.8,
2018-02-06 00:00:00,20.3,16.7,25.6,0,,,22.9,,1017.9,
2018-02-07 00:00:00,15.6,8.3,23.9,0,,,11.2,,1023.9,
2018-02-08 00:00:00,13.8,5,25,0,,,3.8,,1022.1,
2018-02-09 00:00:00,14.8,5.6,25,0,,,2.4,,1017.3,
2018-02-10 00:00:00,14.9,5.6,22.2,0,,,22.2,,1014.4,
2018-02-11 00:00:00,11.2,1.1,16.7,0,,,15.4,,1011.9,
2018-02-12 00:00:00,10.3,1.7,16.7,0,,,16.1,,1012.2,
2018-02-13 00:00:00,11.6,3.9,18.3,0,,,17.3,,1020.7,
2018-02-14 00:00:00,8.8,0,18.9,0,,,8.2,,1021.1,
2018-02-15 00:00:00,11.8,7.2,19.4,0,,,20.9,,1024.4,
2018-02-16 00:00:00,10.1,1.1,19.4,0,,,6.6,,1023.8,
2018-02-17 00:00:00,11.7,2.8,21.1,0,,,5,,1019.7,
2018-02-18 00:00:00,11,6.7,15.6,0,,,20.7,,1013.5,
2018-02-19 00:00:00,7.1,2.8,12.8,0,,,11.2,,1016.2,
2018-02-20 00:00:00,5.9,-1.1,12.2,0,,,7,,1022.9,
2018-02-21 00:00:00,6.9,-0.6,13.9,0,,,9.2,,1022.6,
2018-02-22 00:00:00,7.1,1.7,13.9,,,,13.5,,1021.6,
2018-02-23 00:00:00,6.6,0.6,13.3,0,,,15.9,,1027.6,
2018-02-24 00:00:00,6.5,-3.9,15,0,,,8.7,,1027.6,
2018-02-25 00:00:00,9.8,1.1,17.8,0,,,10.1,,1025.1,
2018-02-26 00:00:00,8.8,5,14.4,,,,11.2,,1015.4,
2018-02-27 00:00:00,9.2,3.9,15.6,0,,,26,,1016.5,
2018-02-28 00:00:00,7.2,-2.2,14.4,,,,11.2,,1020.6,
2018-03-01 00:00:00,10.4,7.8,15,51.2,,,24.4,,1011.2,
2018-03-02 00:00:00,6.7,1.1,10.6,,,,11.3,,1013.3,
2018-03-03 00:00:00,5.9,0.6,11.1,,,,9.3,,1016.8,
2018-03-04 00:00:00,6.3,0,12.8,0,,,5.5,,1025.6,
2018-03-05 00:00:00,7.8,-0.6,16.7,0,,,10.4,,1025.4,
2018-03-06 00:00:00,9.7,1.1,19.4,0,,,7.3,,1020.4,
2018-03-07 00:00:00,13.7,7.2,20.6,0,,,8.3,,1017,
2018-03-08 00:00:00,14.5,8.3,20.6,,,,9.1,,1018.8,
2018-03-09 00:00:00,13.5,5.6,20,0,,,3.8,,1015.7,
2018-03-10 00:00:00,13.1,7.2,17.2,0,,,4,,1014.1,
2018-03-11 00:00:00,13.3,5,21.7,0,,,4.5,,1018,
2018-03-12 00:00:00,15,7.2,22.2,,,,8.8,,1016.3,
2018-03-13 00:00:00,14.2,9.4,16.7,,,,18.3,,1012.7,
2018-03-14 00:00:00,10.3,7.2,15,,,,9.1,,1014.9,
2018-03-15 00:00:00,7.9,2.8,12.2,,,,11.6,,1014.9,
2018-03-16 00:00:00,9.6,6.1,12.8,,,,15.5,,1011.9,
2018-03-17 00:00:00,7.8,3.3,12.2,,,,7.7,,1016.4,
2018-03-18 00:00:00,7.5,1.1,13.9,0,,,3.2,,1021.9,
2018-03-19 00:00:00,10.1,1.7,17.8,0,,,7,,1020,
2018-03-20 00:00:00,11.3,9.4,13.9,,,,8.5,,1015.5,
